loc,locj,phi,trise,NAR,active_trimer,S2c,S2n,pS2c,pS2n,S4c,S4n,pS22c,pS22n,pS24c,pS24n,pS224c,pS224n
4,53,0.486743338070197,6415.97499010276,0.000784190504554685,1.17607676015303,9.22592606853296,7.15489817706995,2.49669743343725,1.40324272686698,37.8944778480031,39.0944639701583,0.75899895439768,0.245520139290219,11.5762431108021,6.7356765542051,3.52306210111251,1.17607676015303
21,53,0.678941949541428,5589.94220777298,0.00530449402535267,0.00243322256949167,0.28387656428391,0.220152198985204,0.0637315605403918,0.0431769906785818,49.662170274587,49.6828604736817,0.000350872772097208,0.000375035687426829,0.387639804241324,0.262912098261977,0.00198414812755831,0.00243322256949167
12,53,0.0669581474373408,8799.181398339,0.000199535105029328,7.81353898051769,1.44764139808138,1.12267615572135,1.16860211190316,3.95648567889005,37.5063975308024,32.7882466227485,0.148866420393987,1.93157585938437,5.48811502810591,15.7788868875069,0.624815092084965,7.81353898051769
20,53,0.996398192488639,326.855729454312,0.1700304695197,0.0406470849586626,26.3911126393959,20.4668585301699,0.411110521458033,0.0200701461091606,45.9479033350078,51.4956998806021,0.0142890942288259,0.00557592427989143,2.25080826658743,0.190867235890658,0.07407422399788,0.0406470849586626
3,53,0.430782582295152,6648.24507568149,0.000651094575341632,0.9961789759992,8.54215713979746,6.62462088171076,2.69143662232355,1.29924259440135,37.4388883571476,38.9601979674596,0.88410823924573,0.209503307153822,12.3223284346002,6.22417959628389,4.05822683835951,0.9961789759992
23,53,0.819655835594983,4753.62363110444,0.00374293352126267,0.6146301370215,6.01085865982863,4.66154633659964,0.491691421673626,0.914238250185189,46.3092724809594,45.1153458604603,0.0224603369007692,0.109527188681999,2.81382898449145,5.02879111401529,0.118131440884744,0.6146301370215
5,53,0.558444637195382,6051.19130972121,0.0010009973665515,1.45811778074456,10.2046719846204,7.91393605556176,2.20272729376141,1.55210779218622,38.5942301748744,39.2890620278261,0.587718606196541,0.301717632448744,10.4121116798603,7.47362037200285,2.77285838215315,1.45811778074456
7,53,0.688215244453735,5244.56475618833,0.00183578941343847,2.2052686833376,12.4186241110925,9.63090212603512,1.45338185060392,1.88884496021094,40.4525550191318,39.7398008128454,0.246703577387138,0.449097760779535,7.23056567579192,9.1680796695733,1.2037307876212,2.2052686833376
16,53,1.22812477557854,2143.7234301833,0.0131809091809667,0.720178361386861,21.1169737949,16.3766538050441,0.623215271602755,0.96272509456639,44.4088510168797,45.8901408403168,0.0353123113528697,0.12555094539264,3.38659633397868,5.41671450121481,0.177518975010658,0.720178361386861
17,53,1.33665265333732,901.351960923616,0.0443248191140135,0.177091036930527,24.3451081393468,18.8801393483465,0.502456272824434,0.398875971675259,45.3717608559662,49.1438983559433,0.021891188999066,0.0279520800779698,2.75486963102242,2.44007823684017,0.112301891867217,0.177091036930527
10,53,0.764148049395883,4661.15377738108,0.00445408788814048,2.95355892656991,14.2765635507193,11.0717729309115,0.688258874730086,2.17143339897085,42.4795991019688,40.1302292828627,0.0401570061813836,0.594722243910847,3.64183953504158,10.6162909842191,0.178482187534472,2.95355892656991
32,53,0.189086156559329,8989.29383004017,0.000511002707776667,1.53161475620802,2.95503543665812,2.29169166400427,0.273746480401115,0.449454325948788,461.842154184205,448.937336959565,0.00616653395846457,0.0277830247492519,15.6543492389232,24.5538869383803,0.345353636509789,1.53161475620802
31,53,0.0426377259889134,9974.9637467605,0.000153020609783878,0.39290470732538,0.651413664033133,0.505184890031331,0.100505801483025,0.0990785627551386,1945.91385906723,1937.53834950635,0.000788897563310201,0.00165324959185635,24.0656558902827,23.4122826825267,0.187592793245528,0.39290470732538
25,53,0.217013411648253,4449.18517821908,0.00064657403746512,45.3618026504869,83.4514046313442,64.7183055914366,10.9659452605728,12.6927720739887,1.79120939785175,18.5982770061167,14.6602160906779,19.7794867949294,2.51943845461313,28.8364980437994,2.89277491578485,45.3618026504869
8,53,0.727033463468684,4961.59872509196,0.00257822758792079,2.53776191357443,13.279250820066,10.2983360964687,1.11930088466765,2.01974435547955,41.3201758297336,39.9191580103755,0.138915644827466,0.514035828125966,5.70781953798895,9.83604871177243,0.679036426932933,2.53776191357443
